Name,iso639P3code
Afrikaans,afr
Albanian,NA
Arabic,NA
Aragonese,arg
Armenian,NA
Asturian,NA
Azerbaijani,NA
Bashkir,bak
Basque,eus
Bavarian,bar
Belarusian,bel
Bengali,ben
Bishnupriya Manipuri,bpy
Bosnian,NA
Breton,bre
Bulgarian,bul
Burmese,mya
Catalan,cat
Cebuano,ceb
Chechen,che
Chinese,NA
Chuvash,chv
Croatian,NA
Czech,ces
Danish,dan
Dutch,nld
English,eng
Estonian,ekk
Finnish,fin
French,fra
Galician,glg
Georgian,kat
German,deu
Greek,NA
Gujarati,guj
Haitian,hat
Hebrew,NA
Hindi,hin
Hungarian,hun
Icelandic,isl
Ido,ido
Indonesian,ind
Irish,gle
Italian,ita
Japanese,jpn
Javanese,jav
Kannada,kan
Kazakh,kaz
Kirghiz,kir
Korean,kor
Latin,lat
Latvian,lav
Lithuanian,lit
Lombard,lmo
Low Saxon,NA
Luxembourgish,NA
Macedonian,mkd
Malagasy,NA
Malay,NA
Malayalam,mal
Marathi,mar
Minangkabau,min
Nepali,npi
Newar,NA
Norwegian,nor
Occitan,oci
Persian,NA
Piedmontese,NA
Polish,pol
Portuguese,por
Punjabi,NA
Romanian,ron
Russian,rus
Scots,sco
Serbian,NA
Serbo-Croatian,NA
Sicilian,scn
Slovak,slk
Slovenian,slv
South Azerbaijani,azb
Spanish,spa
Sundanese,sun
Swahili,swh
Swedish,swe
Tagalog,tgl
Tajik,tgk
Tamil,tam
Tatar,tat
Telugu,tel
Turkish,tur
Ukrainian,ukr
Urdu,urd
Uzbek,NA
Vietnamese,vie
Volapük,vol
Waray-Waray,NA
Welsh,cym
West Frisian,NA
Western Punjabi,NA
Yoruba,yor
