# language_name_wals:	Otomí (Mezquital)
# language_name_glotto:	Mezquital Otomi
# iso639_3:	ote
# year_composed:	2002-2014
# year_published:	2014
# mode:	written
# genre_broad:	grammar
# genre_narrow:	
# writing_system:	Latn
# special_characters:	The text is written using a specific orthographic norm. It contains "underlined" vowels, e.g., o̱, e̱, u̱.  
# short_description:	Parallel text extracted from the orthographic norm of Otomi language (INALI, Mexico).
# source:	NJAUA NT'OT'I RA HÑÄHÑU- NORMA DE ESCRITURA DE LA LENGUA HÑÄHÑU (OTOMÍ) 
# copyright_short:	Public available online (https://site.inali.gob.mx/Micrositios/normas/otomi.html)
# copyright_long:	NA
# sample_type:	whole
# comments:	Spanish translations included

<line_1>	NJAUA
<translation>	ÍNDICE
<line_2>	RA NT'UDI
<translation>	PRESENTACIÓN
<line_3>	MU̱DI XE̱ NI
<translation>	PRIMERA PARTE
<line_4>	N'a. Njaua rá nt'ot'i ra Hñähñu
<translation>	Las letras de la escritura Hñähñu
<line_5>	N'a ne n'a. Mhunts'a nt'ofo Hñähñu
<translation>	Alfabeto Hñähñu
<line_6>	N'a ne yoho. Hanja da nt'ot'i ya nt'ofo
<translation>	Las consonantes y sus reglas de uso
<line_7>	N'a ne hñu. Hanja da nt'ot'i ya mpo̱hñä
<translation>	Las vocales y sus reglas de uso
<line_8>	YOHO XE̱ NI
<translation>	SEGUNDA PARTE
<line_9>	Ya mpe̱ui nt'ot'i
<translation>	Los signos ortográficos
<line_10>	Ya nzu̱ni.
<translation>	Los tonos
<line_11>	Ya dänt'ot'i ne ya t'u̱nt'ot'i
<translation>	Las mayúsculas y minúsculas
<line_12>	Ya t'o̱t'änt'ani
<translation>	Los signos de interrogación
<line_13>	Ya nd'ui de ga 'yo̱o̱
<translation>	Los signos de admiración
<line_14>	Ya m'a̱i
<translation>	Signos de puntuación
<line_15>	HÑUU XE̱NI
<translation>	TERCERA PARTE
<line_16>	Ra hñä
<translation>	La palabra
<line_17>	Ra hñä .
<translation>	La palabra
<line_18>	Ra theke ya hñä
<translation>	División silábica
<line_19>	Ya mpe̱hñä ne ya bo̱hñä
<translation>	Las palabras compuestas y derivadas
<line_20>	Mänga to'ä
<translation>	Pronombres personales
<line_21>	Ra nt'ë'tsi ya t'o̱t'e
<translation>	La flexión de los verbos
<line_22>	Ya me̱uit'o̱t'e ne ya nfa̱xant'o̱t'ë
<translation>	Clíticos y auxiliares
<line_23>	Ra nko̱ni
<translation>	La negación
<line_24>	N'at'ä nt'ot'i
<translation>	Homónimos
<line_25>	Ya hmihi
<translation>	Préstamos
<line_26>	Ya 'ra'yohñä
<translation>	Neologismos
<line_27>	RA MU̱DI NJU̱NI
<translation>	ANEXOS
<line_28>	Nt'u̱t'ähñä
<translation>	Glosario
<line_29>	Ya n'añ'o nt'ot'i ne n'añ'o nzuni ma'ra ya hñä . 
<translation>	Formas de escritura según variante (sinónimos)
<line_30>	Ya 'ra'yo hña
<translation>	Palabras nuevas
<line_31>	RA NT'UDI
<translation>	PRESENTACIÓN
<line_32>	Nuna ra he̱'mi unga ra mfädi nu ya 'be̱fi xa tso̱ni, ya nkohi ne ya mfeni xa thoki ja ya 're̱t'a ma hñu ya hmunts'ämpe̱fi pa nda ndu̱i ra nkohi ra nt'ot'i ra hñä hñähñu bi ndu̱i ra jeya 2002 ne bi gäts'i ra hñu zänä 2014.
