# language_name_wals:	Imonda
# language_name_glotto:	Imonda
# ISO_639-3:	imn
# year_composed:	NA
# year_published:	1985
# mode:	spoken
# genre_(broad):	non-fiction
# genre_(narrow):	oral tradition
# writing_system:	Latn
# special_characters:	The special characters are explained in Seiler (1985), p. 16 with reference to IPA conventions. ë: central close-mid vowel, õ: open back vowel, è: front open-mid vowel, ò: back open-mid vowel, ã: front open-mid to open vowel (IPA æ).
# short_description:	An Imonda story called "Sugõ-na maklõfõklõ"
# source:	Seiler, Walter (1985). Imonda, a Papuan language. Pacific Linguistics, Series B, No. 93.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:	whole
# comments:	When there is a white space within a gloss for a root then this is replaced with '.' (in line with the Leipzig glossing rules), e.g. in the first line, "go down-PST" becomes "go.down-PST". Note that lines do not correspond to sentences. In the original text, a morpheme segmentation is already given in the Imonda text. Here, we remove the hyphens in <line_x> and give the original segmentation in <segmentation>.

<line_1>	id kubui isiiam fõhõn . tëlaluõ egln .
<segmentation>	id kubui isi-ia-m fõhõ-n . tëla-l-uõ eg-l-n .
<glossing>	men INT hunt.pigs-LOC-GL go.down-PST husband-NOM-TO follow-OB/NS-PST
<translation>	A lot of men went pig hunting . Her husband followed them .

<line_2>	agõlm õnanõ ias hapiau , õsõiam .
<segmentation>	agõ-l-m õ-na-n-õ ias ha-pia-u , õsõ-ia-m .
<glossing>	woman-NOM-GL say-BEN-PST-D PRT MO-come-IMP garden-LOC-GL
<translation>	He said to his wife : come to the garden later .

<line_3>	magm toadianèim õnaiba uaipia . edla kafa iam
<segmentation>	mag-m toad-ianèi-m õ-na-i-ba uai-pia . ed-la ka-fa iam
<glossing>	one-GL boys-NPL-GL say-BEN-IMM-TO ACC-come PX-area 1-TO later
<translation>	Having asked one of the boys , you come . I will come

<line_4>	hapia fef isilm fõhõnaba , isitagla
<segmentation>	ha-pia fe-f isi-l-m fõhõ-na-ba , isi-tagla
<glossing>	MO-come do-PRS hunt.pigs-NOM-GL go.down-PST-TO hunt.pigs-go.round
<translation>	there later . Having gone pig hunting , they hunted pigs for a 

<line_5>	-nb , isitaglanb auaia .
<segmentation>	-n-b , isi-tagla-n-b auaia .
<glossing>	-PST-DUR hunt.pigs-go.round-PST-DUR. no
<translation>	long time, they hunted pigs for a long time but no , they did not kill any .

<line_6>	tëlalfa isitaglan . sugõ pëkamaianèi puhõ .
<segmentation>	tëla-l-fa isi-tagla-n . sugõ pëkama-ia-nèi puhõ .
<glossing>	husband-NOM-TO hunt.pigs-go.round-PST ghost grave-LOC-SRC come.up
<translation>	Her husband hunted for pigs . A ghost came out of his grave .

<line_7>	pëkamaianèi puhõnaba . ehefa õno kana tëlal
<segmentation>	pëkama-ia-nèi puhõ-na-ba . ehe-fa õ-n-o ka-na tëla-l
<glossing>	grave-LOC-SRC come.up-PST-TO 3-TO say-PST-D 1-POS husband-NOM
<translation>	Having come up out of his grave . She thought : my husband is

<line_8>	hapiafè . ehefna lõ mõs kõuasada . tëlalna
<segmentation>	ha-pia-f-è . ehe-f-na lõ mõs kõuasada . tëla-l-na
<glossing>	MO-come-PRS-D 3-EMP-POS tooth nose put.on husband-NOM-POS
<translation>	coming . He had put on his face . Her husband's

<line_9>	lõ mõs .
