iso_639_3,alternative_language_names,language,source_name,link
abk,Abxaz,Abkhaz,"UDHR
DOBES archive
WIkipedia Dumps (crawler)","https://unicode.org/udhr/d/udhr_abk.xml
https://archive.mpi.nl/islandora/object/lat%3A1839_00_0000_0000_000A_23BD_E"
kjq,"Keres (Western), Keresan (Western)",Acoma,,
amp,-,Alamblak,,
aey,-,Amele,,
apu,"Apurina, Ipurinã, Ipurina",Apurinã,,
arz,Arabic (Cairene),Arabic (Egyptian),WIkipedia Dumps (crawler),
ape,Bukiyip,Arapesh (Mountain),,
tml,"Citak, Tamnim, Asmat (Flamingo Bay)",Asmat,,
bmi,Barma,Bagirmi,,
bsn,"Makuna-Erulia, S. Barasano, Barasano (Southern), Yebamasa, Barasana-Eduria",Barasano,Bible NT (Barasana-Eduria),https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Barasana-NT.xml
eus,-,Basque,"Bible NT
UDHR
Treebanks
OPUS (use crawler on server)
DOBES archive
SketchEngine: Basque Web (BasqueWaC)
WIkipedia Dumps (crawler)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Basque-NT.xml
https://unicode.org/udhr/d/udhr_eus.xml
http://universaldependencies.org/treebanks/eu_bdt/index.html
https://archive.mpi.nl/islandora/object/lat%3A1839_00_0000_0000_0021_20C4_3
https://www.sketchengine.eu/basque-web-corpus-wac/"
tzm,"Tamazight, Tamazight (Ayt Ndhir), Berber (Ayt Ndhir Middle Atlas), Berber (Ayt Ayache Middle Atlas)",Berber (Middle Atlas),"UDHR (Latin script)
UDHR (Tifinagh script, one article)
OPUS (use crawler on server)","https://unicode.org/udhr/d/udhr_tzm.xml
https://unicode.org/udhr/d/udhr_tzm_tfng.xml"
mya,-,Burmese,"Bible
UDHR
OPUS (use crawler on server)
WIkipedia Dumps (crawler)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Myanmar.xml
https://unicode.org/udhr/d/udhr_mya.xml"
bsk,"Biltum, Kunjut, Burushaski (Yasin)",Burushaski,,
"ram, xra","Canela-Kraho, Canela, Krahô",Canela-Krahô,,
cha,Tjamoro,Chamorro,"Bible Psalm. Gosp. Acts
UDHR
OPUS (use crawler on server)
WIkipedia Dumps (crawler)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Chamorro-PART.xml
https://unicode.org/udhr/d/udhr_cha.xml"
ckt,Chukchee,Chukchi,,
crk,Western Cree,Cree (Plains),WIkipedia Dumps (crawler) (without specific name),
dgz,-,Daga,,
dni,-,Dani (Lower Grand Valley),,
eng,-,English,"British National Corpus
Open American National Corpus
Corpus of Contemporary American English
Bible
Bible web translation
UDHR
Treebanks
OPUS (use crawler on server)
SketchEngine: British Law Report Corpus
SketchEngine: Cambridge Academic English Corpus
SketchEngine: CHILDES English Corpus
SketchEngine: Corpus of English Dialogues 1560–1760
Leeds: The Reuters Corpus
Leeds: INTERNET-EN, Internet texts in English
WIkipedia Dumps (crawler) + Simple English
(see list of corpora on the website for the links below:)
SketchEngine: ACL Anthology Reference Corpus (ARC)
SketchEngine: Araneum Anglicum Africanum Maius [2015]
SketchEngine: Araneum Anglicum Asiaticum Maius [2015]
SketchEngine: Araneum Anglicum Maius [2015]
SketchEngine: Boot Camp English
SketchEngine: Brexit corpus (English)
SketchEngine: Brexit corpus without retweets (English)
SketchEngine: British Academic Spoken English Corpus (BASE)
SketchEngine: British Academic Written English Corpus (BAWE)
SketchEngine: British National Corpus (BNC), tagged by CLAWS
SketchEngine: British Web 2007 (ukWaC)
SketchEngine: Brown
SketchEngine: Brown Family
SketchEngine: Brown Family, CLAWS + TreeTagger tags
SketchEngine: DGT, SketchEngine: 59,106,576
SketchEngine: e-flux (International art English)
SketchEngine: EcoLexicon English (Environment)
SketchEngine: English Broadsheet Newspapers 1993–2013 (SiBol with trends)
SketchEngine: English Corpus for SkELL 3.8
SketchEngine: English Historical Book Collection (EEBO, ECCO, Evans)
SketchEngine: English Preposition Corpus
SketchEngine: English Web 2008 (enTenTen08)
SketchEngine: English Web 2013 (enTenTen13)
SketchEngine: English Web 2013 - term reference (enTenTen13_term_ref)
SketchEngine: English Web 2015 (enTenTen15)
SketchEngine: English Wikipedia
SketchEngine: English Wikipedia sample with Error annotations
SketchEngine: EUR-Lex English 2/2016
SketchEngine: EUR-Lex judgments English 12/2016
SketchEngine: EUROPARL7, SketchEngine: 53,837,625
SketchEngine: LEXMCI
SketchEngine: Medical Web Corpus
SketchEngine: Multicultural London English Corpus
SketchEngine: New corpus for English (NCI English)
SketchEngine: New Model Corpus
SketchEngine: OEC
SketchEngine: OEC v2
SketchEngine: Open Access Journals (DOAJ - English)
SketchEngine: Open American National Corpus (spoken)
SketchEngine: Open American National Corpus (written)
SketchEngine: Open Cambridge Learner Corpus (Uncoded)
SketchEngine: Oxford Children's Corpus 2015
SketchEngine: Oxford Children's Corpus 2015 -- Education
SketchEngine: Oxford Children's Corpus 2015 -- Reading
SketchEngine: Oxford Children's Corpus 2015 -- Writing
SketchEngine: Oxford Children's Corpus 2016
SketchEngine: Oxford Children's Corpus 2016 -- Reading
SketchEngine: Oxford Children's Corpus 2016 -- Writing
SketchEngine: Oxford Corpus of Academic English (April 2012)
SketchEngine: Penn Corpora of Historical English
SketchEngine: PICAE 2010
SketchEngine: Project Gutenberg SketchEngine: 443,471,071
SketchEngine: pukWaC (ukWaC parsed with MaltParser)
SketchEngine: ScienceBlogs
SketchEngine: Semcor v3.0 (sense-tagged corpus)
SketchEngine: Susanne
SketchEngine: TED_en (transcripts of TED talks)
SketchEngine: Timestamped JSI web corpus 2014-2016 English
SketchEngine: Timestamped JSI web corpus 2014-2018 English
SketchEngine: Timestamped JSI web corpus 2018-09 English
SketchEngine: Timestamped JSI web corpus 2018-10 English
SketchEngine: Timestamped web corpus 2005-2014 (Feed)
SketchEngine: UKWaC super sensed","https://corpus.byu.edu/bnc/
http://www.anc.org/data/oanc/download/
https://corpus.byu.edu/coca/
https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/English.xml https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/English-WEB.xml
https://unicode.org/udhr/d/udhr_eng.xml
http://universaldependencies.org/treebanks/en_partut/index.html
http://universaldependencies.org/treebanks/en_gum/index.html
http://universaldependencies.org/treebanks/en_ewt/index.html
http://universaldependencies.org/treebanks/en_pud/index.html
http://universaldependencies.org/treebanks/en_lines/index.html
http://universaldependencies.org/treebanks/en_esl/index.html
http://dialnet.unirioja.es/descarga/articulo/4185398.pdf
https://www.sketchengine.eu/cambridge-academic-english-corpus/
https://old.sketchengine.co.uk/auth/preloaded_corpus/childes_en2_2
https://www.sketchengine.eu/corpus-english-dialogues/
https://trec.nist.gov/data/reuters/reuters.html
http://corpus.leeds.ac.uk/internet.html"
fij,"Nadroga, Fijian (Boumaa)",Fijian,"UDHR
WIkipedia Dumps (crawler)",https://unicode.org/udhr/d/udhr_fij.xml
fin,-,Finnish,"Bible
UDHR
Treebanks
WIkipedia Dumps (crawler)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Finnish.xml
https://unicode.org/udhr/d/udhr_fin.xml
http://universaldependencies.org/treebanks/fi_tdt/index.html
http://universaldependencies.org/treebanks/fi_pud/index.html
http://universaldependencies.org/treebanks/fi_ftb/index.html"
