iso_639_3,alternative_language_names,language,source_name,link
abk,Abxaz,Abkhaz,"UDHR
DOBES archive","https://unicode.org/udhr/d/udhr_abk.xml
https://archive.mpi.nl/islandora/object/lat%3A1839_00_0000_0000_000A_23BD_E"
kjq,"Keres (Western), Keresan (Western)",Acoma,,
amp,-,Alamblak,,
aey,-,Amele,,
apu,"Apurina, Ipurinã, Ipurina",Apurinã,,
arz,Arabic (Cairene),Arabic (Egyptian),,
ape,Bukiyip,Arapesh (Mountain),,
tml,"Citak, Tamnim, Asmat (Flamingo Bay)",Asmat,,
bmi,Barma,Bagirmi,,
bsn,"Makuna-Erulia, S. Barasano, Barasano (Southern), Yebamasa, Barasana-Eduria",Barasano,Bible NT (Barasana-Eduria),https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Barasana-NT.xml
eus,-,Basque,"Bible NT
UDHR
Treebanks
OPUS (use crawler on server)
DOBES archive","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Basque-NT.xml
https://unicode.org/udhr/d/udhr_eus.xml
http://universaldependencies.org/treebanks/eu_bdt/index.html
https://archive.mpi.nl/islandora/object/lat%3A1839_00_0000_0000_0021_20C4_3"
tzm,"Tamazight, Tamazight (Ayt Ndhir), Berber (Ayt Ndhir Middle Atlas), Berber (Ayt Ayache Middle Atlas)",Berber (Middle Atlas),"UDHR (Latin script)
UDHR (Tifinagh script, one article)
OPUS (use crawler on server)","https://unicode.org/udhr/d/udhr_tzm.xml
https://unicode.org/udhr/d/udhr_tzm_tfng.xml"
mya,-,Burmese,"Bible
UDHR
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Myanmar.xml
https://unicode.org/udhr/d/udhr_mya.xml"
bsk,"Biltum, Kunjut, Burushaski (Yasin)",Burushaski,,
"ram, xra","Canela-Kraho, Canela, Krahô",Canela-Krahô,,
cha,Tjamoro,Chamorro,"Bible Psalm. Gosp. Acts
UDHR
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Chamorro-PART.xml
https://unicode.org/udhr/d/udhr_cha.xml"
ckt,Chukchee,Chukchi,,
crk,Western Cree,Cree (Plains),,
dgz,-,Daga,,
dni,-,Dani (Lower Grand Valley),,
eng,-,English,"British National Corpus
Open American National Corpus
Corpus of Contemporary American English
Bible
Bible web translation
UDHR
Treebanks
OPUS (use crawler on server)","https://corpus.byu.edu/bnc/
http://www.anc.org/data/oanc/download/
https://corpus.byu.edu/coca/
https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/English.xml https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/English-WEB.xml
https://unicode.org/udhr/d/udhr_eng.xml
http://universaldependencies.org/treebanks/en_partut/index.html
http://universaldependencies.org/treebanks/en_gum/index.html
http://universaldependencies.org/treebanks/en_ewt/index.html
http://universaldependencies.org/treebanks/en_pud/index.html
http://universaldependencies.org/treebanks/en_lines/index.html
http://universaldependencies.org/treebanks/en_esl/index.html
"
fij,"Nadroga, Fijian (Boumaa)",Fijian,UDHR,https://unicode.org/udhr/d/udhr_fij.xml
fin,-,Finnish,"Bible
UDHR
Treebanks","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Finnish.xml
https://unicode.org/udhr/d/udhr_fin.xml
http://universaldependencies.org/treebanks/fi_tdt/index.html
http://universaldependencies.org/treebanks/fi_pud/index.html
http://universaldependencies.org/treebanks/fi_ftb/index.html"
fra,-,French,"Bible
UDHR
Treebanks
OPUS (use crawler on server)
Glossa (CLARIN): French Newspaper Corpus (request access at tekstlab-post@iln.uio.no)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/French.xml
https://unicode.org/udhr/d/udhr_fra.xml
http://universaldependencies.org/treebanks/fr_partut/index.html
http://universaldependencies.org/treebanks/fr_gsd/index.html
http://universaldependencies.org/treebanks/fr_sequoia/index.html
http://universaldependencies.org/treebanks/fr_pud/index.html
http://universaldependencies.org/treebanks/fr_ftb/index.html
http://universaldependencies.org/treebanks/fr_spoken/index.html"
kat,Kartuli,Georgian,"UDHR
OPUS (use crawler on server)",https://unicode.org/udhr/d/udhr_kat.xml
deu,-,German,"Bible
UDHR 1901
UDHR 1996
Treebanks
OPUS (use crawler on server)
Glossa (CLARIN): Berliner Zeitung Corpus (doesn't seem to work?)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/German.xml
https://unicode.org/udhr/d/udhr_deu_1901.xml
https://unicode.org/udhr/d/udhr_deu_1996.xml
http://universaldependencies.org/treebanks/de_gsd/index.html
http://universaldependencies.org/treebanks/de_pud/index.html
https://tekstlab.uio.no/glossa2/d2"
gni,Guniyan,Gooniyandi,,
grj,Southern Grebo,Grebo,,
ell,-,Greek (Modern),"Bible
UDHR monotonic
UDHR polytonic (?)
Treebanks
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Greek.xml
https://unicode.org/udhr/d/udhr_ell_monotonic.xml
https://unicode.org/udhr/d/udhr_ell_polytonic.xml
http://universaldependencies.org/treebanks/el_gdt/index.html"
kal,"Greenland Eskimo (West), Kalaallisut",Greenlandic (West),"UDHR
OPUS (use crawler on server)",https://unicode.org/udhr/d/udhr_kal.xml
gug,Guarani (Paraguayan),Guarani,"UDHR
OPUS (use crawler on server)",https://unicode.org/udhr/d/udhr_gug.xml
hau,-,Hausa,"UDHR Nigeria
UDHR Niger (?)
OPUS (use crawler on server)","https://unicode.org/udhr/d/udhr_hau_NG.xml
https://unicode.org/udhr/d/udhr_hau_NE.xml
"
heb,Israeli Hebrew,Hebrew (Modern),"Bible
UDHR
Treebanks
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Hebrew.xml
https://unicode.org/udhr/d/udhr_heb.xml
http://universaldependencies.org/treebanks/el_gdt/index.html"
hin,-,Hindi,"Bible
UDHR
Treebanks
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Hindi.xml
https://unicode.org/udhr/d/udhr_hin.xml
http://universaldependencies.org/treebanks/hi_hdtb/index.html
http://universaldependencies.org/treebanks/hi_pud/index.html"
hix,"Hishkariana, Hixkaryána",Hixkaryana,,
"cqd, hnj","Miao, Mong Njua, Miao (Chuanqiandian Cluster)",Hmong Njua,UDHR,https://unicode.org/udhr/d/udhr_blu.xml
imn,-,Imonda,,
ind,-,Indonesian,"Bible
UDHR
Treebanks
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Indonesian.xml
https://unicode.org/udhr/d/udhr_ind.xml
http://universaldependencies.org/treebanks/id_gsd/index.html
http://universaldependencies.org/treebanks/id_gsd/index.html"
"jac, jai","Jacaltec, Jakalteko",Jakaltek,Bible NT,https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Jakalteko-NT.xml
jpn,-,Japanese,"Bible tokenized
Bible raw
UDHR
Treebanks
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Japanese-tok.xml
https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Japanese.xml
https://unicode.org/udhr/d/udhr_jpn.xml
http://universaldependencies.org/treebanks/ja_gsd/index.html
http://universaldependencies.org/treebanks/ja_pud/index.html
http://universaldependencies.org/treebanks/ja_modern/index.html
http://universaldependencies.org/treebanks/ja_bccwj/index.html
http://universaldependencies.org/treebanks/ja_ktc/index.html"
kan,"Kanarese, Havyaka",Kannada,"Bible
UDHR
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Kannada.xml
https://unicode.org/udhr/d/udhr_kan.xml"
kyh,-,Karok,,
gyd,Gayardilt,Kayardild,,
"kew, kjs",-,Kewa,,
