"name","writing_system","types","tokens","ttr"
"Abkhaz_abk","Cyrl",844,1325,0.636981132075472
"Acoma_kjq","Latn",902,2433,0.370735717221537
"Alamblak_amp","Latn",27044,268933,0.100560362618199
"Arabic_Egyptian_arz","Arab",74274,528641,0.140499885555604
"Asmat_tml","Latn",30,53,0.566037735849057
"Bagirmi_bmi","Latn",50,70,0.714285714285714
"Basque_eus","Latn",4072,8832,0.461050724637681
"CanelaKraho_ram","Latn",2666,40181,0.0663497673029541
"Dani_LowerGrandValley_dni","Latn",162,298,0.543624161073825
"English_eng","Latn",17587,842657,0.020870888154967
"Finnish_fin","Latn",16126,39088,0.412556283258289
"Kayardild_gyd","Latn",24,28,0.857142857142857
"Lavukaleve_lvk","Latn",645,2109,0.305832147937411
"Vietnamese_vie","Latn",1215,4545,0.267326732673267
