wals code,glottocode,name,latitude,longitude,macroarea,genus,family,sample 100,sample 200
egn,enge1239,Engenni,5.1666666667,6.3833333333,Africa,Edoid,Niger-Congo,False,False
bnn,bann1247,Banoni,-6.4166666667,155.25,Papunesia,Oceanic,Austronesian,False,False
ard,aran1237,Arandai,-2.0833333333,133,Papunesia,South Bird's Head,Marind,False,False
ktk,afad1236,Kotoko,11.3333333333,15.3333333333,Africa,Biu-Mandara,Afro-Asiatic,False,False
klw,kili1268,Kiliwa,31.3333333333,-115.666666667,North America,Yuman,Hokan,False,False
irx,iran1263,Iranxe,-13,-58,South America,Iranxe,Iranxe,False,False
mnm,mana1295,Manam,-4,145,Papunesia,Oceanic,Austronesian,False,False
non,noon1243,Noni,6.4166666667,10.5833333333,Africa,Bantoid,Niger-Congo,False,False
pil,pile1238,Pileni,-10.2166666667,166.216666667,Papunesia,Oceanic,Austronesian,False,False
cav,cavi1250,Cavineña,-13.3333333333,-66.5,South America,Tacanan,Tacanan,False,False
koa,koas1236,Koasati,34.8333333333,-85.1666666667,North America,Muskogean,Muskogean,True,True
ktu,nucl1297,Katu,15.8333333333,107.583333333,Eurasia,Katuic,Austro-Asiatic,False,False
tpr,tupu1244,Tupuri,10.1666666667,14.75,Africa,Adamawa,Niger-Congo,False,False
sil,dars1235,Sila,12.3333333333,21.75,Africa,Daju,Eastern Sudanic,False,False
nbk,natu1246,Natügu,-10.7833333333,165.866666667,Papunesia,Oceanic,Austronesian,False,False
mra,mara1385,Mara,-15,135.166666667,Australia,Mara,Mangarrayi-Maran,False,False
nmd,samo1303,Nomad,-6.1666666667,142.25,Papunesia,East Strickland,East Strickland,False,False
cur,curr1243,Curripaco,2.5,-68.5,South America,Inland Northern Arawakan,Arawakan,False,False
arx,area1240,'Are'are,-9.25,161.166666667,Papunesia,Oceanic,Austronesian,False,False
shs,shas1239,Shasta,41.8333333333,-122.666666667,North America,Shasta,Hokan,False,False
hix,hixk1239,Hixkaryana,-1,-59,South America,Cariban,Cariban,True,True
tid,tido1248,Tidore,0.75,127.5,Papunesia,North Halmaheran,West Papuan,False,False
lbu,lund1266,Lunda,-10.6666666667,24,Africa,Bantoid,Niger-Congo,False,False
tkl,take1257,Takelma,42.5,-123,North America,Takelma,Takelma,False,False
sgb,mani1235,Sougb,-1.5,134,Papunesia,East Bird's Head,East Bird's Head,False,False
avt,avat1244,Avatime,6.8333333333,0.4166666667,Africa,Kwa,Niger-Congo,False,False
knp,ngka1235,Kanum (Ngkâlmpw),-8.6666666667,140.916666667,Papunesia,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers,False,False
knb,badi1247,Kanum (Bädi),-8.8333333333,140.75,Papunesia,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers,False,False
win,wint1259,Wintu,41,-122.5,North America,Wintuan,Penutian,False,False
swt,swat1243,Swati,-26.5,31,Africa,Bantoid,Niger-Congo,False,False
mor,morm1235,Mor,-2.95,135.75,Papunesia,South Halmahera - West New Guinea,Austronesian,False,False
wir,wira1265,Wirangu,-32,134,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
teh,tehu1242,Tehuelche,-48,-68,South America,Chon Proper,Chon,False,False
nya,nyaw1247,Nyawaygi,-19,146.166666667,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
rag,hano1246,Raga,-15.5,168.166666667,Papunesia,Oceanic,Austronesian,False,False
lug,lugb1240,Lugbara,3.0833333333,30.9166666667,Africa,Moru-Ma'di,Central Sudanic,False,False
tai,taha1241,Tuareg (Air),19,9,Africa,Berber,Afro-Asiatic,False,False
tug,taha1241,Tuareg (Ahaggar),23,6,Africa,Berber,Afro-Asiatic,False,False
sim,sime1241,Simeulue,2.5,96.25,Papunesia,Northwest Sumatra-Barrier Islands,Austronesian,False,False
baq,baur1253,Baure,-13.0833333333,-64.1666666667,South America,Bolivia-Parana,Arawakan,False,False
sul,sulk1246,Sulka,-5.0833333333,151.916666667,Papunesia,Sulka,Sulka,False,False
coa,coah1252,Coahuilteco,28,-100,North America,Coahuiltecan,Coahuiltecan,False,False
gok,goka1239,Gokana,4.5833333333,7.3333333333,Africa,Cross River,Niger-Congo,False,False
bhu,mund1320,Bhumij,21.3333333333,86.5,Eurasia,Munda,Austro-Asiatic,False,False
mun,mund1320,Mundari,23,84.6666666667,Eurasia,Munda,Austro-Asiatic,False,True
slv,sout2959,Slavey,60,-120,North America,Athapaskan,Na-Dene,False,False
ord,peri1253,Ordos,39,109,Eurasia,Mongolic,Altaic,False,False
ndo,ndon1254,Ndonga,-18,17,Africa,Bantoid,Niger-Congo,False,False
pmn,nort2966,Pomo (Northern),39.3333333333,-123.5,North America,Pomoan,Hokan,False,False
far,faro1244,Faroese,62,-7,Eurasia,Germanic,Indo-European,False,False
ang,ango1254,Anggor,-3.75,141.166666667,Papunesia,Senagi,Senagi,False,False
atk,atak1252,Atakapa,30,-93.5,North America,Atakapa,Atakapa,False,False
kla,klao1243,Klao,4.75,-8.75,Africa,Kru,Niger-Congo,False,False
idu,idum1241,Idu,29.3333333333,95.8333333333,Eurasia,Digaroan,Sino-Tibetan,False,False
mis,misk1235,Miskito,14,-83.6666666667,North America,Misumalpan,Misumalpan,False,False
tsi,nucl1649,Tsimshian (Coast),52.5,-129,North America,Tsimshianic,Penutian,False,True
sum,maya1285,Mayangna,13,-84.5,North America,Misumalpan,Misumalpan,False,False
mon,monn1252,Mon,14.8333333333,100.5,Eurasia,Monic,Austro-Asiatic,False,False
cde,maqu1238,Carib (De'kwana),5.5,-65,South America,Cariban,Cariban,False,False
kui,kuii1252,Kui (in India),20,83.5,Eurasia,South-Central Dravidian,Dravidian,False,False
kiu,kuii1253,Kui (in Indonesia),-8.4333333333,124.55,Papunesia,Greater Alor,Timor-Alor-Pantar,False,False
moj,moha1256,Mojave,34.6666666667,-114.583333333,North America,Yuman,Hokan,False,False
grn,fare1241,Gurenne,10.8333333333,-0.9166666667,Africa,Gur,Niger-Congo,False,False
ngg,nang1259,Ngan'gityemerri,-14.25,130.416666667,Australia,Ngankikurungkurr,Southern Daly,False,False
ngk,nang1259,Ngankikurungkurr,-14,130.5,Australia,Ngankikurungkurr,Southern Daly,False,False
rgn,nort2994,Roglai (Northern),12.1666666667,108.833333333,Eurasia,Malayo-Sumbawan,Austronesian,False,False
ijo,izon1238,Ijo (Kolokuma),4.9166666667,5.6666666667,Africa,Ijoid,Ijoid,False,False
tye,tyar1236,Tyeraity,-13,130.333333333,Australia,Northern Daly,Northern Daly,False,False
ngt,tang1336,Naga (Tangkhul),25,94.5,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
khk,khak1248,Khakas,53,90,Eurasia,Turkic,Altaic,False,False
tza,tzel1254,Tzeltal (Aguacatenango),16.4166666667,-92.5,North America,Mayan,Mayan,False,False
tzb,tzel1255,Tzeltal (Bachajón),16.9166666667,-92,North America,Mayan,Mayan,False,False
tzt,tzel1254,Tzeltal (Tenejapa),16.6666666667,-92.3333333333,North America,Mayan,Mayan,False,False
tze,tzel1253,Tzeltal,16.8333333333,-92.25,North America,Mayan,Mayan,False,False
saa,saaa1240,Sa'a,-9.6166666667,161.45,Papunesia,Oceanic,Austronesian,False,False
thd,thad1238,Thadou,24.4166666667,93.9166666667,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
krb,gilb1244,Kiribati,1.3333333333,173,Papunesia,Oceanic,Austronesian,False,True
dmi,dumi1241,Dumi,27.25,86.6666666667,Eurasia,Mahakiranti,Sino-Tibetan,False,False
