corpus_id,language_name_wals,mode,genre_broad,genre_narrow
1,Abkhaz,written,professional,official_documents
2,Acoma,spoken,non-fiction,oral_tradition
3,Alamblak,written,non-fiction,religion
4,Amele,written,non-fiction,religion
5,Apurinã,written,non-fiction,religion
6,Arabic (Egyptian),written,non-fiction,religion
7,Arapesh (Mountain),written,non-fiction,religion
8,Asmat,spoken,conversation,spontaneous_speeches
9,Bagirmi,spoken,grammar,"NA"
10,Barasano,written,non-fiction,religion
11,Basque,written,non-fiction,religion
11,Basque,written,non-fiction,prepared_speeches
12,Basque,written,professional,official_documents
13,Berber (Middle Atlas),written,professional,official_documents
14,Burmese,written,non-fiction,religion
15,Burmese,written,professional,official_documents
16,Burushaski,spoken,grammar,"NA"
17,Canela-Krahô,written,non-fiction,religion
18,Chamorro,written,non-fiction,religion
19,Chamorro,written,professional,official_documents
20,Chukchi,written,non-fiction,religion
21,Daga,written,non-fiction,religion
22,Dani (Lower Grand Valley),spoken,conversation,face-to-face_conversations
23,English,written,fiction,general_fiction
24,English,written,non-fiction,religion
24,English,written,non-fiction,prepared_speeches
25,English,written,professional,official_documents
26,Fijian,written,non-fiction,religion
27,Fijian,written,professional,official_documents
28,Finnish,written,fiction,general_fiction
29,Finnish,written,non-fiction,religion
29,Finnish,written,non-fiction,prepared_speeches
30,Finnish,written,professional,official_documents
31,French,written,fiction,general_fiction
32,French,written,non-fiction,religion
32,French,written,non-fiction,prepared_speeches
33,French,written,professional,official_documents
34,Georgian,written,non-fiction,religion
34,Georgian,written,non-fiction,prepared_speeches
35,Georgian,written,professional,official_documents
36,German,written,fiction,general_fiction
37,German,written,non-fiction,religion
37,German,written,non-fiction,prepared_speeches
38,German,written,professional,official_documents
39,Gooniyandi,spoken,conversation,spontaneous_speeches
40,Grebo,spoken,non-fiction,oral_tradition
41,Greek (Modern),written,fiction,general_fiction
42,Greek (Modern),written,non-fiction,religion
42,Greek (Modern),written,non-fiction,prepared_speeches
43,Greek (Modern),written,professional,official_documents
44,Greenlandic (West),written,non-fiction,religion
45,Greenlandic (West),written,professional,official_documents
46,Guraní,written,non-fiction,religion
47,Guaraní,written,professional,official_documents
48,Hausa,written,non-fiction,religion
49,Hausa,written,professional,official_documents
50,Hebrew (Modern),written,fiction,general_fiction
51,Hebrew (Modern),written,non-fiction,prepared_speeches
52,Hebrew (Modern),written,professional,official_documents
53,Hindi,written,non-fiction,religion
53,Hindi,written,non-fiction,prepared_speeches
54,Hindi,written,professional,official_documents
55,Hixkaryana,written,non-fiction,religion
56,Hmong Njua,written,professional,official_documents
57,Imonda,spoken,non-fiction,oral_tradition
58,Indonesian,written,non-fiction,religion
58,Indonesian,written,non-fiction,prepared_speeches
59,Indonesian,written,professional,official_documents
60,Jakaltek,written,non-fiction,religion
61,Japanese,written,fiction,general_fiction
62,Japanese,written,non-fiction,prepared_speeches
63,Japanese,written,professional,official_documents
64,Kannada,written,professional,official_documents
65,Kayardild,spoken,grammar,"NA"
66,Kewa,written,non-fiction,religion
67,Khalkha,written,non-fiction,religion
68,Khalkha,written,professional,official_documents
69,Khoekhoe,written,non-fiction,religion
70,Kiowa,spoken,non-fiction,oral_tradition
71,Korean,written,non-fiction,religion
71,Korean,written,non-fiction,prepared_speeches
72,Korean,written,professional,official_documents
73,Kutenai,spoken,non-fiction,oral_tradition
74,Lango,written,non-fiction,religion
75,Lavukaleve,spoken,non-fiction,oral_tradition
76,Luvale,written,professional,official_documents
77,Makah,spoken,conversation,spontaneous_speeches
78,Makah,spoken,non-fiction,oral_tradition
79,Malagasy,written,non-fiction,religion
80,Malagasy,written,professional,official_documents
81,Mandarin,written,fiction,general_fiction
82,Mandarin,written,non-fiction,prepared_speeches
83,Mandarin,written,professional,official_documents
84,Mapudungun,written,non-fiction,religion
85,Mapudungun,written,professional,official_documents
86,Martuthunira,spoken,conversation,spontaneous_speeches
87,Maung,written,non-fiction,religion
88,Maybrat,written,non-fiction,written_tradition
89,Mixtec (Chalcatongo),written,non-fiction,religion
90,Ngiyambaa,spoken,conversation,spontaneous_speeches
91,Ngiyambaa,spoken,non-fiction,oral_tradition
92,Oromo (Harar),written,non-fiction,religion
93,Otomí (Mezquital),written,grammar,"NA"
94,Otomí (Mezquital),written,non-fiction,written_tradition
95,Otomi (Mezquital),written,professional,official_documents
96,Paiwan,spoken,conversation,spontaneous_speeches
96,Paiwan,spoken,conversation,face-to-face_conversations
97,Paiwan,spoken,non-fiction,oral_tradition
98,Persian,written,fiction,general_fiction
99,Persian,written,non-fiction,religion
99,Persian,written,non-fiction,prepared_speeches
100,Persian,written,professional,official_documents
101,Pirahã,spoken,conversation,spontaneous_speeches
102,Quechua (Imbabura),written,non-fiction,religion
103,Rama,spoken,grammar,"NA"
104,Rama,spoken,non-fiction,oral_tradition
105,Rapanui,spoken,non-fiction,oral_tradition
106,Russian,written,fiction,general_fiction
107,Russian,written,non-fiction,religion
107,Russian,written,non-fiction,prepared_speeches
108,Russian,written,professional,official_documents
109,Sango,written,non-fiction,religion
110,Sango,written,professional,official_documents
111,Sanuma,written,non-fiction,religion
112,Spanish,written,fiction,general_fiction
113,Spanish,written,non-fiction,religion
113,Spanish,written,non-fiction,prepared_speeches
114,Spanish,written,professional,official_documents
115,Swahili,written,non-fiction,religion
115,Swahili,written,non-fiction,prepared_speeches
116,Swahili,written,professional,official_documents
117,Tagalog,written,fiction,general_fiction
118,Tagalog,written,non-fiction,religion
118,Tagalog,written,non-fiction,prepared_speeches
119,Tagalog,written,professional,official_documents
120,Thai,written,non-fiction,religion
120,Thai,written,non-fiction,prepared_speeches
121,Thai,written,professional,official_documents
122,Tiwi,spoken,non-fiction,oral_tradition
123,Turkish,written,non-fiction,religion
123,Turkish,written,non-fiction,prepared_speeches
124,Turkish,written,professional,official_documents
125,Vietnamese,written,non-fiction,religion
125,Vietnamese,written,non-fiction,prepared_speeches
126,Vietnamese,written,professional,official_documents
127,Warao,spoken,non-fiction,oral_tradition
128,Wari',spoken,conversation,spontaneous_speeches
129,Wichí,written,non-fiction,religion
130,Wichita,spoken,conversation,oral_tradition
131,Yagua,written,non-fiction,religion
132,Yagua,written,professional,official_documents
133,Yaqui,written,non-fiction,religion
134,Yoruba,written,non-fiction,religion
135,Yoruba,written,professional,official_documents
136,Zoque (Copainalá),spoken,non-fiction,oral_tradition
137,Zulu,written,professional,official_documents
